Date,Open,High,Low,Close,Adj Close,Volume
2023-08-01,29998.150391,30348.750000,29948.000000,30288.650391,30288.650391,20700
2023-08-02,30253.099609,30259.400391,29801.550781,30043.599609,30043.599609,19300
2023-08-03,29913.650391,30054.349609,29685.150391,29971.150391,29971.150391,17300
2023-08-04,30082.550781,30555.800781,30027.300781,30436.099609,30436.099609,22500
2023-08-07,30582.449219,30809.000000,30451.349609,30779.250000,30779.250000,15000
2023-08-08,30817.250000,30910.550781,30670.150391,30824.949219,30824.949219,22500
2023-08-09,30772.500000,30964.699219,30590.550781,30940.050781,30940.050781,17000
2023-08-10,30845.650391,30967.750000,30722.199219,30867.000000,30867.000000,16900
2023-08-11,30950.300781,31164.300781,30764.500000,30819.150391,30819.150391,23300
2023-08-14,30755.800781,31058.900391,30570.500000,31028.900391,31028.900391,13700
2023-08-16,31129.300781,31304.750000,31047.000000,31212.099609,31212.099609,0
2023-08-17,31205.300781,31238.250000,30885.400391,31060.199219,31060.199219,17300
2023-08-18,30907.449219,30934.099609,30515.000000,30604.050781,30604.050781,20000
2023-08-21,30626.250000,30987.650391,30597.050781,30937.599609,30937.599609,12900
2023-08-22,30973.900391,31024.599609,30785.699219,30902.400391,30902.400391,11400
2023-08-23,31036.949219,31084.650391,30887.449219,30924.099609,30924.099609,12200
2023-08-24,31084.550781,31212.449219,31004.750000,31112.150391,31112.150391,37500
2023-08-25,30907.849609,30998.949219,30803.000000,30914.550781,30914.550781,15200
2023-08-28,30975.349609,31025.750000,30745.000000,30773.599609,30773.599609,11100
2023-08-29,30899.949219,30978.250000,30784.849609,30866.050781,30866.050781,11400
2023-08-30,31069.849609,31197.750000,31023.750000,31103.900391,31103.900391,11800
2023-08-31,31175.099609,31428.000000,31067.699219,31164.900391,31164.900391,35300
2023-09-01,31166.599609,31550.949219,31149.250000,31514.349609,31514.349609,14300
2023-09-04,31552.500000,32197.849609,31454.500000,32163.949219,32163.949219,3083434400
2023-09-05,32207.400391,32482.650391,32014.949219,32365.300781,32365.300781,24000
2023-09-06,32437.849609,32515.050781,32038.550781,32312.300781,32312.300781,19400
2023-09-07,32264.500000,32497.650391,32153.400391,32448.349609,32448.349609,17700
2023-09-08,32450.750000,32561.250000,32353.400391,32415.650391,32415.650391,12700
2023-09-11,32531.000000,32674.449219,32458.050781,32642.800781,32642.800781,15300
2023-09-12,32758.550781,33114.148438,32429.500000,32977.898438,32977.898438,24400
2023-09-13,32943.148438,32982.351563,32713.099609,32886.699219,32886.699219,14900
2023-09-14,32991.449219,33240.199219,32949.550781,33045.398438,33045.398438,24000
2023-09-15,33216.898438,33402.750000,33156.199219,33355.050781,33355.050781,31900
2023-09-18,33255.101563,33266.898438,33030.351563,33129.500000,33129.500000,14200
2023-09-20,32860.898438,33167.300781,32851.750000,32949.199219,32949.199219,16600
2023-09-21,32849.898438,32976.851563,32504.750000,32919.949219,32919.949219,20700
2023-09-22,32799.050781,33109.648438,32664.400391,32906.300781,32906.300781,22900
2023-09-25,32881.351563,32960.949219,32581.150391,32648.599609,32648.599609,15200
2023-09-26,32675.099609,32693.250000,32391.449219,32471.000000,32471.000000,12200
2023-09-27,32439.050781,32651.000000,32339.949219,32594.650391,32594.650391,13800
2023-09-28,32616.050781,32623.349609,31808.750000,31879.599609,31879.599609,26100
2023-09-29,31814.650391,32020.349609,31514.900391,31784.400391,31784.400391,22000
2023-10-03,31772.750000,31852.650391,31499.349609,31717.250000,31717.250000,14300
2023-10-04,31531.349609,31874.699219,31412.500000,31811.500000,31811.500000,16000
2023-10-05,31995.000000,32368.449219,31956.900391,32125.400391,32125.400391,21400
2023-10-06,32251.449219,32438.400391,32098.800781,32341.699219,32341.699219,14000
2023-10-09,32216.150391,32638.250000,32203.550781,32308.550781,32308.550781,17400
2023-10-10,32423.949219,32616.349609,32200.250000,32569.449219,32569.449219,14500
2023-10-11,32688.699219,32981.898438,32489.599609,32548.050781,32548.050781,24900
2023-10-12,32474.150391,32556.500000,31907.000000,32003.650391,32003.650391,28500
2023-10-13,31457.500000,32024.349609,31434.099609,31807.949219,31807.949219,37300
2023-10-16,31831.050781,31949.750000,31710.650391,31750.400391,31750.400391,15800
2023-10-17,31884.250000,31938.199219,31770.750000,31794.900391,31794.900391,13200
2023-10-18,31778.550781,31882.449219,31568.199219,31606.650391,31606.650391,14900
2023-10-19,31345.550781,31667.000000,31345.550781,31540.050781,31540.050781,31200
2023-10-20,31445.449219,31605.750000,31360.500000,31469.349609,31469.349609,17300
2023-10-23,31358.449219,31456.099609,30802.050781,30848.400391,30848.400391,13500
2023-10-25,30790.349609,31004.199219,30469.000000,30530.500000,30530.500000,16600
2023-10-26,30184.000000,30312.449219,30054.199219,30225.650391,30225.650391,28200
2023-10-27,30328.250000,30676.949219,30313.949219,30599.699219,30599.699219,15100
2023-10-30,30627.900391,30698.400391,30433.650391,30641.000000,30641.000000,11000
2023-10-31,30765.250000,30769.199219,30396.050781,30582.250000,30582.250000,12400
2023-11-01,30609.449219,30694.449219,30283.150391,30344.849609,30344.849609,10900
2023-11-02,30575.800781,30731.550781,30495.300781,30582.750000,30582.750000,12400
2023-11-03,30797.250000,30924.849609,30739.349609,30779.949219,30779.949219,11800
2023-11-06,30955.349609,31034.150391,30863.650391,30972.949219,30972.949219,9500
2023-11-07,30949.949219,31052.500000,30860.650391,30981.599609,30981.599609,9400
2023-11-08,31049.750000,31128.900391,30865.250000,30917.199219,30917.199219,11100
2023-11-09,30982.650391,30993.050781,30655.550781,30717.699219,30717.699219,20500
2023-11-10,30623.699219,30680.849609,30504.099609,30639.050781,30639.050781,12700
2023-11-13,30793.650391,30810.349609,30572.949219,30635.849609,30635.849609,8900
2023-11-15,31095.800781,31472.500000,30987.750000,31429.349609,31429.349609,24300
